14,11,NaN,51,NaN,0.00061,0.00637,0.28126,4,56.709,1.2747,114.61,22.843,2380
15,12,NaN,43,NaN,0.00036,0.00482,0.21645,4,47.646,0.41347,114.4,22.678,2830
16,12,NaN,50,NaN,0.00036,0.00417,0.18865,4,31.685,0.075595,114.46,22.774,2830
18,14,NaN,53,NaN,0.00016,0.00306,0.12709,4,52.907,1.2527,115.48,23.004,3220
22,18,NaN,58,NaN,0.00019,0.0012,0.05586,4,51.521,0.36408,115.92,24.36,2380
23,19,NaN,58,NaN,0.00114,0.01356,0.88302,5,110.23,0.43312,115.26,24.069,3540
24,19,NaN,59,NaN,0.00082,0.01037,0.52355,4,63.684,0.67675,114.58,23.682,3620
25,20,NaN,59,NaN,0.00018,0.00179,0.08518,4,25.688,0.093289,114.48,23.492,2840
26,20,NaN,60,NaN,0.00037,0.00375,0.19038,4,24.534,0.94892,114.53,23.391,3612
28,21,NaN,66,NaN,0.00112,0.00878,0.42599,4,50.156,0.94599,113.8,23.585,2380
52,42,NaN,43,NaN,0.00036,0.01423,0.13837,4,15.509,0.60134,114.15,22.631,2830
59,47,NaN,66,NaN,0.00011,0.00142,0.07158,4,44.553,0.99999,113.78,23.234,3620
60,47,NaN,76,NaN,0.00015,0.00343,0.16905,4,42.282,1.553,113.89,23.255,3990
61,48,NaN,59,NaN,0.00026,0.00394,0.19425,4,62.589,0.99935,114.21,23.266,3730
62,48,NaN,76,NaN,0.00055,0.00517,0.26118,4,49.662,1.1987,113.98,23.237,2380
63,49,NaN,50,NaN,0.00028,0.00288,0.1291,4,24.743,0.65923,114.23,22.853,2830
64,49,NaN,51,NaN,0.0009,0.00588,0.2665,3,63.634,0.29245,114.41,23.004,2632
65,49,NaN,60,NaN,0.00083,0.00933,0.47566,4,55.597,0.86392,114.3,23.112,3990
66,51,NaN,53,NaN,0.00092,0.01215,0.56214,4,81.319,0.19746,115.04,23.158,2830
73,59,NaN,75,NaN,6e-05,0.00034,0.01575,4,16.768,1.5259,114.36,23.578,3990
86,66,NaN,76,NaN,0.0001,0.0017,0.08385,4,25.281,0.19045,113.78,23.424,4000
