10,10,NaN,37,NaN,0.00097,0.00653,0.29141,4,45.57,-0.76653,113.46,22.73,455
11,10,NaN,49,NaN,0.00061,0.00854,0.43365,3,23.003,-0.39141,113.68,22.563,700
12,10,NaN,50,NaN,0.0004,0.00439,0.186,4,20.527,-0.57534,113.82,22.489,400
13,11,NaN,49,NaN,0.0004,0.00439,0.186,4,113.53,-0.082353,114.65,22.789,600
14,12,NaN,53,NaN,0.00045,0.00985,0.51205,3,77.28,-0.3106,114.77,22.84,630
15,12,NaN,54,NaN,0.00061,0.00854,0.43365,3,44.631,-1.0086,115.44,22.968,400
25,21,NaN,50,NaN,0.00097,0.00653,0.29141,4,32.978,-0.34455,114.38,22.781,455
26,21,NaN,51,NaN,0.00036,0.00482,0.21645,4,73.881,-0.1419,114.27,22.621,400
27,21,NaN,53,NaN,0.00036,0.00417,0.18865,4,20.891,1.5708,114.52,22.754,400
28,22,NaN,51,NaN,0.00067,0.00593,0.26496,4,62.753,0.69004,113.66,23.53,300
29,22,NaN,54,NaN,0.00061,0.00637,0.28126,4,40.144,1.2767,113.78,23.428,300
65,47,NaN,48,NaN,0.00012,0.0019,0.08635,4,17.144,-0.84439,113.87,22.988,630
68,48,NaN,53,NaN,0.00028,0.00288,0.1291,4,13.313,0.63298,113.8,22.563,400
69,48,NaN,54,NaN,0.0009,0.00588,0.2665,4,28.62,0.31889,113.93,22.625,300
70,49,NaN,50,NaN,0.00102,0.01237,0.55992,4,19.697,-0.96525,113.78,22.676,400
71,50,NaN,51,NaN,0.00036,0.00303,0.13837,4,154.17,0.49905,114.62,23.553,400
